sogn;Lattitude;Longitude
Adslev;56.099.214;9.993.994
Alling;5.611.333;9.729.168
Alrø;558.566.632;100.723.869
Astrup;56.067.845;10.097.948
Balle;561.958.874;9.519.672
Beder;560.595.675;102.151.085
Bjerager;559.527.183;102.134.188
Blegind;56.067.348;100.698.751
Borum;561.870.827;100.073.858
Brabrand;561.519.935;101.002.311
Bryrup;560.253.521;95.101.287
Dallerup;561.728.617;96.387.536
Dover;56.099.943;97.837.443
Egå;562.168.506;102.621.219
Elev;56.241.636;101.951.461
Elsted;562.456.357;102.266.414
Falling;559.102.306;101.338.812
Foldby;56.250.553;100.189.242
Framlev;561.575.006;10.009.493
Fruering;560.337.088;99.890.705
Funder;561.556.078;94.377.132
Fårup;565.040.517;98.093.602
Galten;561.587.664;99.014.033
Gjern;562.300.891;97.377.936
Gosmer;55.930.107;101.897.761
Granslev;563.050.572;98.081.512
Grundfør;562.688.306;100.999.225
Gylling;558.903.533;101620478
Gødvad;561.921.723;95.913.014
Hadsten;563.203.932;100.245.997
Haldum;56.279.527;100.402.081
Halling;561.322.717;98.772.749
Hammel;56.255.449;98.602.881
Harlev;561.330.736;100.083.751
Hasle;56.169.726;101.584.891
Haurum;563.009.451;98.639.664
Hjortshøj;562.523.366;102.624.438
Holme;561.143.764;101.721.571
Houlbjerg;563.473.529;98.733.801
Hundslund;559.152.892;1.004.660
Hvilsted;560.072.355;100.533.849
Hylke;559.954.263;99.319.128
Hørning;56.085.465;100.359.881
Kasted;562.090.885;101.284.966
Kolt;561.093.077;100.682.843
Kragelund;561.943.883;94.095.152
Lading;563.115.868;98.205.493
Lemming;562.362.049;95.436.877
Linå;561.551.717;96.879.101
Lisbjerg;56.221.357;101.659.201
Lyngby;561.715.003;100.125.658
Lyngå;562.841.068;9.743.373
Låsby;561.192.482;95.208.822
Malling;560.396.287;101.919.186
Mejlby;563.014.716;102.110.422
Mesing;56.075.721;99.365.811
Mårslet;560.686.569;101.575.208
Nølev;559.954.685;101.868.786
Odder;559.732.966;101.493.534
Ormslev;56.126.813;100.487.833
Ovsted;559.722.422;9.853.061
Randlev;559.439.075;101.836.898
Rye;558.512.163;81.498.859
Røgen;562.078.167;98.059.487
Sabro;562.165.472;100.345.816
Saksild;55.973.793;10.231.998
Sall;562.788.007;98.224.039
Sejling;562.185.524;95.159.603
Serup;56.244.712;9.485.510
Sinding;562.108.562;85.309.602
Sjelle;561.832.227;99.287.639
Skanderborg købstad;560.307.176;9.885.147
Skanderup;560.273.495;99.010.352
Skannerup;560.273.376;96.159.483
Skejby;561.998.989;101.721.912
Skivholme;561.775.032;98.759.799
Skjød;563.000.803;9.927.482
Skorup;562.787.863;97.411.093
Skovby;561.569.652;99.442.243
Skødstrup;562.629.033;103.064.036
Skørring;563.635.309;102.742.551
Sporup;56.226.367;98.217.312
Spørring;562.984.583;101.447.515
Stilling;560.648.898;99.957.608
Stjær;561.172.713;99.515.347
Storring;56.136.627;99.384.759
Svostrup;56.212.242;91.160.272
Søby;563.527.906;102.357.808
Søften;562.378.519;100.830.119
Them;560.945.307;9.546.728
Tilst;561.929.991;101.087.329
Tiset;560.242.379;100.574.594
Todbjerg;56.268.403;102.080.941
Torrild;559.802.329;100.477.696
Tranbjerg;560.490.257;100.197.502
Trige;562.526.373;101.531.689
Tulstrup;560.281.918;101.029.756
Tunø;559.560.112;103.767.185
Tvilum;562.498.904;96.192.078
Tåning;560.119.858;98.422.133
Vejlby;561.951.472;102.092.077
Veng;56.111.561;98.783.691
Viby;561.286.007;101.629.811
Vinding;560.462.459;95.108.907
Vitten;562.909.141;99.964.891
Vitved;56.048.753;100.388.541
Voldby;562.358.006;98.763.251
Vrads;560.403.035;94.484.994
Ølsted;560.023.187;82.812.202
Ørting;55.927.863;101.411.631
Åby;56.151.495;101.488.031
Århus købstad;561.570.207;101.918.101
Årslev;563.794.218;99.402.478
